id,age,income,category,status
0,39.96714153011233,89264.16839675672,A,Active
1,33.61735698828815,55527.50057749179,A,Active
2,41.47688538100692,23379.862874226546,A,Inactive
3,50.23029856408026,11534.10090124669,A,Active
4,32.658466252766644,44277.11865205655,C,Active
5,32.6586304305082,32646.253650865234,C,Active
6,50.79212815507391,53916.5748106827,A,Active
7,42.67434729152909,41571.57010507569,C,Active
8,30.305256140650478,62915.807034331876,B,Active
9,40.42560043585965,12897.190661307493,A,Active
10,30.365823071875376,82239.75204227798,A,Active
11,30.34270246429743,26838.685237409016,B,Active
12,37.41962271566034,175476.58121702424,B,Active
13,15.86719755342202,11056.924717212596,B,Inactive
14,17.750821674869673,124986.84905193972,A,Active
15,29.377124707590273,26847.0381660359,A,Active
16,24.87168879665576,11482.529627019405,A,Active
17,38.142473325952736,13576.751575016262,A,Active
18,25.91975924478789,15988.942871728994,A,Active
19,20.876962986647086,33663.38228151937,A,Active
20,49.65648768921554,37154.32591944398,C,Active
21,32.74223699513465,12410.522693684235,C,Inactive
22,35.67528204687924,21496.499947823304,A,Active
23,20.752518137865433,187638.09474491206,C,Active
24,29.556172754748175,123938.79947149131,A,Inactive
25,36.10922589709866,34075.150377031154,A,Inactive
26,23.490064225776973,22879.657550154563,A,Inactive
27,38.75698018345672,24835.54883912049,B,Active
28,28.99361310081195,40681.062679942916,C,Active
29,32.083062502067236,7920.482738656838,B,Active
30,28.98293387770603,17028.155562194574,A,Active
31,53.522781845089376,4152.292731619656,B,Active
32,34.86502775262066,32834.107687514894,A,Active
33,24.422890710440996,42074.449689683956,C,Inactive
34,43.225449121031886,13586.250092702103,B,Active
35,22.791563500289776,106296.40701017113,A,Inactive
36,37.08863595004755,6465.491654737242,B,Active
37,15.403298761202244,5093.014224287955,B,Active
38,21.718139511015693,27569.12644576607,A,Active
39,36.96861235869123,62761.575029986234,B,Active
40,42.38466579995411,118649.33907316414,A,Active
41,36.7136828118997,13920.470549090673,B,Active
42,33.843517176117594,64775.37750986387,C,Inactive
43,31.988963044107113,21194.38422451781,C,Active
44,20.214780096325725,18534.195310700175,B,Active
45,27.801557916052914,53298.31187356876,B,Active
46,30.393612290402125,42290.71673474737,A,Active
47,45.57122226218915,4553.301453550608,B,Active
48,38.43618289568462,96426.88673263337,A,Active
49,17.36959844637266,87561.03343393122,A,Active
50,38.24083969394795,11783.285208340603,A,Active
51,31.149177195836835,32722.020284190417,A,Active
52,28.230779996940413,36099.351720640705,B,Active
53,41.11676288840868,28586.040001985606,A,Active
54,45.30999522495951,12704.287909792383,B,Active
55,44.31280119116199,11252.849135550685,A,Active
56,26.607824767773614,21470.730811211735,A,Active
57,31.907876241487855,71163.05122686182,B,Active
58,38.31263431403564,37933.88877957801,A,Inactive
59,44.75545127122359,15205.092261215845,A,Active
60,30.2082576215471,47652.89728269849,B,Inactive
61,33.14341023336183,1275.9641646367936,A,Inactive
62,23.936650259939718,69478.01845984231,C,Active
63,23.037933759193294,3867.2008170338004,A,Active
64,43.125258223941984,15329.878690066325,A,Active
65,48.56240028570823,7189.163525657402,B,Active
66,34.27989878419666,6034.9239036407,A,Active
67,45.03532897892024,70321.07274115084,A,Active
68,38.61636025047634,13798.274108023836,A,Active
69,28.548802453948756,31147.955303706076,A,Inactive
70,38.61395605508414,21016.84254318888,C,Active
71,50.38036566465969,35491.22732158696,A,Active
72,34.64173960890049,23785.27310554921,B,Active
73,50.64643655814006,6105.881560115123,C,Active
74,8.802548959102555,59651.037437113766,A,Active
75,43.21902504375224,13443.398098621452,C,Inactive
76,35.870470682381715,4644.402924056633,A,Active
77,32.009926495341325,14355.448550212712,C,Active
78,35.91760776535502,98790.8028296603,A,Active
79,15.124310853991073,51545.57991456336,B,Inactive
80,32.80328112162488,15542.723494187481,A,Active
81,38.57112571511746,15533.314137810181,A,Active
82,49.77894044741516,15968.366473499857,B,Active
83,29.817297817263526,175737.72848924456,B,Active
84,26.915063971068122,32271.36076376717,A,Active
85,29.982429564154636,33861.76047808808,A,Active
86,44.15402117702074,61715.07170384973,B,Active
87,38.287511096596845,27967.241534101388,B,Active
88,29.702397962329613,16999.816930381756,C,Inactive
89,40.13267433113356,18099.691101901884,B,Active
90,35.9707754934804,20504.481286650236,C,Active
91,44.68644990532889,21221.66268019251,B,Active
92,27.979469061226474,45598.474620446825,A,Active
93,31.723378534022316,23200.8892301884,A,Inactive
94,31.078918468678424,45827.5206508871,B,Active
95,20.364850518678814,20318.425630796937,B,Active
96,37.96120277064576,23828.442050851034,A,Active
97,37.610552721798896,2986.326499232064,A,Active
98,35.05113456642461,55068.19882445488,C,Active
99,32.65412866624853,31147.475447213295,B,Active
100,20.84629257949586,59755.11721305337,A,Active
101,30.79354677234641,1216.5139406622716,A,Inactive
102,31.572854834732304,177792.9064049088,A,Active
103,26.97722730778381,19156.749213134764,A,Active
104,33.387142883339905,66714.8480608298,A,Inactive
105,39.040508568145384,7786.089887584734,A,Active
106,53.8618590121053,40650.8044749811,B,Active
107,36.74577812831839,7681.609978786409,A,Active
108,37.57550390722764,11804.440335673988,C,Active
109,34.25554084233833,149347.54025899066,C,Active
110,15.812287847009586,18202.56139654969,A,Active
111,34.73486124550783,27376.297771678586,B,Inactive
112,35.60230209941027,52578.771346204114,A,Active
113,59.63242112485286,36159.02634965693,C,Active
114,33.076390352188774,25601.824696730175,A,Active
115,38.015473423336125,31728.19518194889,B,Active
116,34.65288230294757,243632.3450215919,B,Active
117,23.313219623804677,20793.19820772869,A,Active
118,46.42822814515021,26932.770186757578,A,Inactive
119,42.519330326867745,62985.15835842192,B,Active
120,42.910319470430466,66537.82972586599,B,Active
121,25.90612545205261,72188.08658805584,A,Active
122,49.02794310936099,41719.762735466626,B,Active
123,20.981489372077192,7023.346460934601,A,Active
124,40.868570938002705,112806.75853042812,B,Active
125,56.90455625809979,6999.924253016863,A,Active
126,25.094636748693116,29811.081483697,C,Active
127,29.33702270397228,10360.172331405152,A,Active
128,35.99651365087641,20658.076865264582,A,Active
129,29.965243458838007,30600.21794508422,A,Active
130,19.493365689338674,30374.45431217721,A,Inactive
131,35.68562974806027,33587.886302522755,B,Active
132,24.37696286273895,110603.97072057932,A,Active
133,39.73592430635182,34666.68095136703,C,Active
134,25.80575765766197,17254.760660613327,A,Active
135,50.499344050175395,57762.04443530334,A,Active
136,27.167467076637628,72364.45385276366,A,Active
137,31.779384837943244,6453.592199152752,A,Active
138,43.135172173696695,40030.62518794747,A,Inactive
139,22.69135683566045,44407.90363212011,A,Active
140,37.27459934604129,16357.413467354569,A,Active
141,48.07142754282428,87177.95892382045,A,Active
142,18.925167654387725,18957.30099264813,B,Inactive
143,36.84633858532304,24973.647639236347,B,Active
144,37.598827942484235,18525.958240630433,A,Active
145,42.8182287177731,22372.30407423628,A,Active
146,22.63049289121918,7359.335432175834,C,Active
147,21.795433869157236,5218.4156391706965,B,Active
148,40.21941565616898,108499.95782196998,B,Inactive
149,37.96984673233186,9443.091091570226,A,Active
150,37.504928503458764,8173.133490924429,B,Inactive
151,38.46448209496975,2557.0509132026045,B,Active
152,28.199752784215093,11626.453469919554,B,Active
153,37.322536971610035,5865.894161040079,C,Active
154,37.93072473298681,113779.2174047057,A,Active
155,27.85648581973632,60464.826170827706,A,Inactive
156,53.65774511144757,11068.401929714091,B,Inactive
157,39.73832920911788,209490.94707209917,C,Inactive
158,23.086965027973513,58792.259672072985,A,Active
159,41.5655360863383,15917.407751990955,A,Active
160,25.253183297726785,1809.1172265116995,A,Active
161,42.87084603742452,217715.092655782,A,Inactive
162,46.58595579007404,5488.594732925974,B,Active
163,26.793176816482895,4249.68972360635,B,Active
164,44.63376129244322,61240.893022767494,A,Active
165,39.12780926936498,252647.97770128935,A,Active
166,43.2206015999449,87927.93332965516,A,Inactive
167,53.967929826539475,38712.163038997525,A,Active
168,32.54611883997129,39924.85501590252,B,Active
169,27.462638356425103,51710.47022133693,C,Active
170,26.104855703744768,47048.23305976001,C,Active
171,26.841897150345616,29178.616956003112,A,Active
172,34.228982905858956,24445.492056869316,C,Active
173,38.41151974816644,20690.022787169353,B,Inactive
174,37.766907993300194,10363.397552503986,B,Inactive
175,43.27183249036024,16636.010352093977,A,Active
176,35.13001891877907,4052.313314519488,A,Active
177,49.53534077157317,19963.489778900814,A,Inactive
178,32.35343166762044,8196.060515309846,A,Active
179,62.20169166589619,7305.703933483305,A,Active
180,41.25667347765006,26367.676161927397,A,Active
181,26.428424435837172,88610.20285539329,A,Active
182,24.291075019388877,55177.834681674256,B,Active
183,39.824724152431855,4580.206650912086,A,Inactive
184,32.76537214674149,8187.56536505382,A,Active
185,42.14000494092092,56430.84515985138,C,Active
186,39.73237624573545,8246.239905974486,C,Active
187,34.271710873431275,17594.943700441127,B,Active
188,26.53206281931595,38179.42737091117,C,Active
189,19.851527753141355,8363.694590668809,B,Active
190,30.53485047932979,24474.217760839638,C,Active
191,43.56398794323472,5802.095968197062,A,Active
192,37.14093744130204,12071.859429634926,A,Inactive
193,22.54261221288012,30326.643669559227,A,Inactive
194,36.73180925851182,4478.333485985609,A,Active
195,38.85317379728837,34216.8926404874,A,Active
196,26.16142563798867,21598.134000468395,B,Active
197,36.53725105945528,38272.61683888395,B,Active
198,35.58208718446,27554.30693839365,B,Active
199,23.57029702169377,86175.43420148181,A,Active
200,38.577873603482836,24964.859689934256,C,Active
201,40.60784526368234,14336.936510578094,B,Inactive
202,45.830512431752766,24891.894392010352,A,Inactive
203,45.53802052034903,37922.4297133872,B,Inactive
204,21.22330632042909,23129.405915897594,A,Active
205,25.621749600848773,22938.95167789482,A,Active
206,40.1503526720866,10916.25576886088,C,Active
207,40.13785950912209,11351.430865958622,A,Active
208,40.150476863060476,5417.527059341279,A,Active
209,73.52731490654722,126699.92105043026,C,Active
210,40.70890510693167,6349.534388855769,B,Active
211,46.35565640180599,11015.898232410425,A,Inactive
212,44.54001763493203,10738.52191651108,A,Active
213,41.51391251305798,53902.08166074898,A,Active
214,31.847307553596544,16400.22481103003,B,Active
